protein_group_id,representative_global_sample_id,representative_sample_id,representative_source_dataset,representative_source_status,representative_protein_pdb,union_pocket_pdb,source_sample_count,unique_pocket_count,protein_residue_count,union_pocket_residue_count,source_sample_ids_file,dataset_label
protein_group_014531,PDBbind2020:2o9a:accepted_dominant_chain,2o9a,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014531/protein_group_014531_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014531/protein_group_014531_pocket_union.pdb,1,1,182,64,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014531/source_sample_ids.txt,template
protein_group_014532,PDBbind2020:4i32:accepted_dominant_chain,4i32,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014532/protein_group_014532_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014532/protein_group_014532_pocket_union.pdb,1,1,182,116,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014532/source_sample_ids.txt,template
protein_group_014533,PDBbind2020:4i33:accepted_dominant_chain,4i33,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014533/protein_group_014533_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014533/protein_group_014533_pocket_union.pdb,1,1,182,115,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014533/source_sample_ids.txt,template
protein_group_014534,PDBbind2020:4u01:accepted_dominant_chain,4u01,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014534/protein_group_014534_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014534/protein_group_014534_pocket_union.pdb,1,1,182,76,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014534/source_sample_ids.txt,template
protein_group_014535,scPDB:1mvn_1:accepted,1mvn_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014535/protein_group_014535_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014535/protein_group_014535_pocket_union.pdb,1,1,182,25,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014535/source_sample_ids.txt,template
protein_group_014536,scPDB:1sbr_2:accepted_dominant_chain,1sbr_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014536/protein_group_014536_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014536/protein_group_014536_pocket_union.pdb,1,1,182,22,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014536/source_sample_ids.txt,template
protein_group_014537,scPDB:2o28_1:accepted_dominant_chain,2o28_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014537/protein_group_014537_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014537/protein_group_014537_pocket_union.pdb,1,1,182,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014537/source_sample_ids.txt,template
protein_group_014538,scPDB:2plw_1:accepted,2plw_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014538/protein_group_014538_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014538/protein_group_014538_pocket_union.pdb,1,1,182,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014538/source_sample_ids.txt,template
protein_group_014539,scPDB:2yvp_1:accepted,2yvp_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014539/protein_group_014539_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014539/protein_group_014539_pocket_union.pdb,1,1,182,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014539/source_sample_ids.txt,template
protein_group_014540,scPDB:3l6j_2:accepted,3l6j_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014540/protein_group_014540_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014540/protein_group_014540_pocket_union.pdb,1,1,182,41,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014540/source_sample_ids.txt,template
protein_group_014541,scPDB:3nef_1:accepted,3nef_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014541/protein_group_014541_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014541/protein_group_014541_pocket_union.pdb,1,1,182,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014541/source_sample_ids.txt,template
protein_group_014542,scPDB:4oic_1:accepted_dominant_chain,4oic_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014542/protein_group_014542_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014542/protein_group_014542_pocket_union.pdb,1,1,182,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014542/source_sample_ids.txt,template
protein_group_014543,scPDB:4u9z_1:accepted,4u9z_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014543/protein_group_014543_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014543/protein_group_014543_pocket_union.pdb,1,1,182,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014543/source_sample_ids.txt,template
protein_group_014544,PDBbind2020:3n7s:accepted_pseudo_chainA,3n7s,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014544/protein_group_014544_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014544/protein_group_014544_pocket_union.pdb,1,1,181,83,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014544/source_sample_ids.txt,template
protein_group_014545,PDBbind2020:4sga:accepted,4sga,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014545/protein_group_014545_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014545/protein_group_014545_pocket_union.pdb,1,1,181,75,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014545/source_sample_ids.txt,template
protein_group_014546,PDBbind2020:5c5t:accepted,5c5t,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014546/protein_group_014546_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014546/protein_group_014546_pocket_union.pdb,1,1,181,68,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014546/source_sample_ids.txt,template
protein_group_014547,PDBbind2020:5gso:accepted,5gso,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014547/protein_group_014547_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014547/protein_group_014547_pocket_union.pdb,1,1,181,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014547/source_sample_ids.txt,template
protein_group_014548,PDBbind2020:5gsw:accepted,5gsw,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014548/protein_group_014548_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014548/protein_group_014548_pocket_union.pdb,1,1,181,66,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014548/source_sample_ids.txt,template
protein_group_014549,PDBbind2020:6agp:accepted,6agp,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014549/protein_group_014549_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014549/protein_group_014549_pocket_union.pdb,1,1,181,59,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014549/source_sample_ids.txt,template
protein_group_014550,PDBbind2020:6hm4:accepted,6hm4,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014550/protein_group_014550_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014550/protein_group_014550_pocket_union.pdb,1,1,181,43,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014550/source_sample_ids.txt,template
protein_group_014551,scPDB:1i5a_1:accepted,1i5a_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014551/protein_group_014551_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014551/protein_group_014551_pocket_union.pdb,1,1,181,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014551/source_sample_ids.txt,template
protein_group_014552,scPDB:1i5c_1:accepted,1i5c_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014552/protein_group_014552_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014552/protein_group_014552_pocket_union.pdb,1,1,181,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014552/source_sample_ids.txt,template
protein_group_014553,scPDB:2g0b_5:accepted_dominant_chain,2g0b_5,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014553/protein_group_014553_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014553/protein_group_014553_pocket_union.pdb,1,1,181,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014553/source_sample_ids.txt,template
protein_group_014554,scPDB:2nyu_2:accepted_dominant_chain,2nyu_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014554/protein_group_014554_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014554/protein_group_014554_pocket_union.pdb,1,1,181,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014554/source_sample_ids.txt,template
protein_group_014555,scPDB:2zoz_1:accepted_dominant_chain,2zoz_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014555/protein_group_014555_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014555/protein_group_014555_pocket_union.pdb,1,1,181,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014555/source_sample_ids.txt,template
protein_group_014556,scPDB:3a58_3:accepted_dominant_chain,3a58_3,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014556/protein_group_014556_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014556/protein_group_014556_pocket_union.pdb,1,1,181,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014556/source_sample_ids.txt,template
protein_group_014557,scPDB:3oji_1:accepted,3oji_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014557/protein_group_014557_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014557/protein_group_014557_pocket_union.pdb,1,1,181,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014557/source_sample_ids.txt,template
protein_group_014558,scPDB:3zvu_1:accepted_dominant_chain,3zvu_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014558/protein_group_014558_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014558/protein_group_014558_pocket_union.pdb,1,1,181,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014558/source_sample_ids.txt,template
protein_group_014559,scPDB:4f1l_2:accepted_dominant_chain,4f1l_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014559/protein_group_014559_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014559/protein_group_014559_pocket_union.pdb,1,1,181,18,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014559/source_sample_ids.txt,template
protein_group_014560,scPDB:4iah_1:accepted,4iah_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014560/protein_group_014560_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014560/protein_group_014560_pocket_union.pdb,1,1,181,42,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014560/source_sample_ids.txt,template
protein_group_014561,scPDB:4mit_3:accepted,4mit_3,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014561/protein_group_014561_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014561/protein_group_014561_pocket_union.pdb,1,1,181,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014561/source_sample_ids.txt,template
protein_group_014562,PDBbind2020:1rin:accepted_dominant_chain,1rin,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014562/protein_group_014562_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014562/protein_group_014562_pocket_union.pdb,1,1,180,39,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014562/source_sample_ids.txt,template
protein_group_014563,PDBbind2020:1rtl:accepted_dominant_chain,1rtl,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014563/protein_group_014563_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014563/protein_group_014563_pocket_union.pdb,1,1,180,68,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014563/source_sample_ids.txt,template
protein_group_014564,PDBbind2020:2zu3:accepted,2zu3,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014564/protein_group_014564_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014564/protein_group_014564_pocket_union.pdb,1,1,180,68,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014564/source_sample_ids.txt,template
protein_group_014565,PDBbind2020:4j8s:accepted,4j8s,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014565/protein_group_014565_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014565/protein_group_014565_pocket_union.pdb,1,1,180,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014565/source_sample_ids.txt,template
protein_group_014566,PDBbind2020:5bpe:accepted,5bpe,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014566/protein_group_014566_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014566/protein_group_014566_pocket_union.pdb,1,1,180,70,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014566/source_sample_ids.txt,template
protein_group_014567,PDBbind2020:5icv:accepted,5icv,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014567/protein_group_014567_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014567/protein_group_014567_pocket_union.pdb,1,1,180,107,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014567/source_sample_ids.txt,template
protein_group_014568,PDBbind2020:6d9s:accepted_dominant_chain,6d9s,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014568/protein_group_014568_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014568/protein_group_014568_pocket_union.pdb,1,1,180,80,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014568/source_sample_ids.txt,template
protein_group_014569,scPDB:1c9k_2:accepted_dominant_chain,1c9k_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014569/protein_group_014569_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014569/protein_group_014569_pocket_union.pdb,1,1,180,21,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014569/source_sample_ids.txt,template
protein_group_014570,scPDB:1i59_1:accepted,1i59_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014570/protein_group_014570_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014570/protein_group_014570_pocket_union.pdb,1,1,180,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014570/source_sample_ids.txt,template
protein_group_014571,scPDB:1i5b_1:accepted,1i5b_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014571/protein_group_014571_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014571/protein_group_014571_pocket_union.pdb,1,1,180,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014571/source_sample_ids.txt,template
protein_group_014572,scPDB:1ky2_1:accepted,1ky2_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014572/protein_group_014572_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014572/protein_group_014572_pocket_union.pdb,1,1,180,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014572/source_sample_ids.txt,template
protein_group_014573,scPDB:1ysn_1:accepted,1ysn_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014573/protein_group_014573_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014573/protein_group_014573_pocket_union.pdb,1,1,180,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014573/source_sample_ids.txt,template
protein_group_014574,scPDB:2ght_1:accepted_dominant_chain,2ght_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014574/protein_group_014574_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014574/protein_group_014574_pocket_union.pdb,1,1,180,28,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014574/source_sample_ids.txt,template
protein_group_014575,scPDB:2vq3_2:accepted_dominant_chain,2vq3_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014575/protein_group_014575_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014575/protein_group_014575_pocket_union.pdb,1,1,180,39,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014575/source_sample_ids.txt,template
protein_group_014576,scPDB:3a3g_1:accepted_dominant_chain,3a3g_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014576/protein_group_014576_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014576/protein_group_014576_pocket_union.pdb,1,1,180,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014576/source_sample_ids.txt,template
protein_group_014577,scPDB:4co4_1:accepted_pseudo_chainA,4co4_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014577/protein_group_014577_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014577/protein_group_014577_pocket_union.pdb,1,1,180,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014577/source_sample_ids.txt,template
protein_group_014578,scPDB:4guk_2:accepted,4guk_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014578/protein_group_014578_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014578/protein_group_014578_pocket_union.pdb,1,1,180,12,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014578/source_sample_ids.txt,template
protein_group_014579,scPDB:4poo_1:accepted,4poo_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014579/protein_group_014579_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014579/protein_group_014579_pocket_union.pdb,1,1,180,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014579/source_sample_ids.txt,template
protein_group_014580,PDBbind2020:1sbr:accepted_dominant_chain,1sbr,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014580/protein_group_014580_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014580/protein_group_014580_pocket_union.pdb,1,1,179,46,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014580/source_sample_ids.txt,template
protein_group_014581,PDBbind2020:3lqi:accepted_dominant_chain,3lqi,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014581/protein_group_014581_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014581/protein_group_014581_pocket_union.pdb,1,1,179,63,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014581/source_sample_ids.txt,template
protein_group_014582,PDBbind2020:3rbq:accepted_dominant_chain,3rbq,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014582/protein_group_014582_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014582/protein_group_014582_pocket_union.pdb,1,1,179,122,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014582/source_sample_ids.txt,template
protein_group_014583,PDBbind2020:3rsb:accepted,3rsb,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014583/protein_group_014583_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014583/protein_group_014583_pocket_union.pdb,1,1,179,65,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014583/source_sample_ids.txt,template
protein_group_014584,PDBbind2020:3sji:accepted,3sji,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014584/protein_group_014584_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014584/protein_group_014584_pocket_union.pdb,1,1,179,73,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014584/source_sample_ids.txt,template
protein_group_014585,PDBbind2020:3sjo:accepted_dominant_chain,3sjo,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014585/protein_group_014585_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014585/protein_group_014585_pocket_union.pdb,1,1,179,70,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014585/source_sample_ids.txt,template
protein_group_014586,PDBbind2020:4bea:accepted,4bea,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014586/protein_group_014586_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014586/protein_group_014586_pocket_union.pdb,1,1,179,59,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014586/source_sample_ids.txt,template
protein_group_014587,PDBbind2020:4y0a:accepted,4y0a,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014587/protein_group_014587_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014587/protein_group_014587_pocket_union.pdb,1,1,179,70,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014587/source_sample_ids.txt,template
protein_group_014588,PDBbind2020:5dah:accepted,5dah,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014588/protein_group_014588_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014588/protein_group_014588_pocket_union.pdb,1,1,179,83,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014588/source_sample_ids.txt,template
protein_group_014589,scPDB:1l1r_1:accepted,1l1r_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014589/protein_group_014589_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014589/protein_group_014589_pocket_union.pdb,1,1,179,18,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014589/source_sample_ids.txt,template
protein_group_014590,scPDB:1vg8_2:accepted,1vg8_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014590/protein_group_014590_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014590/protein_group_014590_pocket_union.pdb,1,1,179,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014590/source_sample_ids.txt,template
protein_group_014591,scPDB:1yob_1:accepted,1yob_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014591/protein_group_014591_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014591/protein_group_014591_pocket_union.pdb,1,1,179,33,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_014591/source_sample_ids.txt,template
